character,dialogue
HAN,Don't everyone thank me at once.
LANDO,What have you done to my ship?
HAN,"All right! Up! Move! Come on! Quickly! Quickly, Chewie."
HAN,"We're losing our deflector shield.  Go strap yourself in, I'm going to make the jump to light speed."
THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose."
LUKE,"You know, I think that R2 unit we bought might have been stolen."
THREEPIO,What makes you think there are settlements over there?
HAN,Now let's blow this thing and go home!
YODA,"You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack."
THREEPIO,"Oh, no! Chewbacca!"
THREEPIO,Princess Leia.
HAN,Wait a minute...
VADER,Perhaps you think you're being treated unfairly.
THREEPIO,"But sir, nobody worries about upsetting a droid."
VADER,As you wish.
LEIA,I love you!
LUKE,I have no memory of my mother. I never knew her.
LEIA,"Well, maybe you can help me. Come on, sit down."
HAN,What's going on?
HAN,"I see it, I see it."
HAN,"Chewie!  Get down here!  She's wounded!  No, wait....  I got an idea."
LEIA,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope."
LUKE,"Oh, no!  We've got to do something."
LEIA,to take the responsibility yourself!
THREEPIO,"Well, I can see you're serving drinks, but this place is dangerous. They're going to execute Master Luke and, if we're not careful, us too!"
THREEPIO,"Wait, what's that?  A transport!  I'm saved!"
LUKE,I don't...I don't believe it.
LUKE,"Good luck, Lando"
THREEPIO,"Well, he seems very friendly."
LUKE,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.
LUKE,I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.
LEIA,"No! Luke, run away, far away. If he can feel your presence, then leave this place. I wish I could go with you."
THREEPIO,"Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?"
LUKE,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids."
LUKE,We've been cut off!  Are there any other ways out of the cell bay?...What was that?  I didn't copy!
THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop."
VADER,The Emperor does not share your optimistic appraisal of the situation.
LUKE,"I got a little cooked, but I'm okay."
THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!
HAN,I'm trying!
LUKE,I had a lot of help. Think nothing of it.
LANDO,Good luck.
LANDO,"You know, seeing you sure brings back a few things."
LUKE,"That's right, Artoo. We're going to the  Dagobah system. I have a promise to keep...  to an old friend."
BEN,You don't need to see his identification.
HAN,"They're not goin' for it, Chewie."
THREEPIO,Where am I?  I must have taken a bad step...
LEIA,Why are they doing this?
HAN,You're gonna need it.
LUKE,"Uh... Threepio, hand me those binders there will you?"
HAN,"Not this ship, sister."
LUKE,Because...there is good in him. I've felt it. He won't turn me over to the Emperor. I can save him. I can turn him back to the good side. I have to try.
HAN,Take the squad ahead.  We'll meet at the shield generator at 0300.
HAN,"Well, I suppose I could hotwire this thing."
LUKE,He knew my father?
LEIA,I'm not trembling.
HAN,It's too big to be a space station.
LUKE,Shut down all the garbage mashers on the detention level.
HAN,Let's see.
HAN,Then I guess I'm getting better.
VADER,Where is that shuttle going?
VADER,"They are clear, my Master."
LUKE,Vader. Is the dark side stronger?
BEN,"This time, let go your conscious self and act on instinct."
LUKE,Your overconfidence is your weakness.
LEIA,How do you know?
HAN,Good.
HAN,You probably don't.
LUKE,Uncle Owen...
LUKE,"Take care, you two. May the Force be with you."
BEN,"Let go, Luke."
HAN,I did say so before!
LEIA,"The ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. When you've gotten past the energy shield, proceed directly to the rendezvous point. Understood?"
HAN,Go on inside. We'll clean them off if there are any more.
THREEPIO,I never doubted you for a second. Wonderful!
VADER,As you wish.
LUKE,We're all right.  You did great.
LEIA,"Luke, tell me. What's troubling you?"
LEIA,"All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as they're loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you'll have to stay very close to your transports."
THREEPIO,That sounds like an R2 unit in there. I wonder if...
LUKE,I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.
THREEPIO,We surrender.
HAN,"Not entirely stable? I'm glad you're here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive."
LUKE,How's that.
HAN,"No. I don't think the Empire had Wookiees in mind when they designed her, Chewie."
HAN,What kept you?
LEIA,"But these are my friends. Threepio, tell them they must be set free."
THREEPIO,"... and a gift.  Gift, what gift?"
HAN,"See? My friend.  Keep your eyes open, okay?"
HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie."
YODA,Will he finished what he begins?
LUKE,Then I am a Jedi?
LUKE,Tell me.
LUKE,Come on!
THREEPIO,"Hello! I say, over there! Were you looking for me?"
THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
HAN,I said turn her around! I'm going to put all power in the front  shield.
HAN,"Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power."
HAN,"Traveling through hyperspace isn't like dusting crops, boy!  Without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it?"
VADER,He will not be permanently damaged.
HAN,Fast ship?  You've never heard of the Millennium Falcon?
LUKE,"Thanks, Threepio."
HAN,This is not going to work.
THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to..."
LANDO,Now lock onto the strongest power source. It should be the power generator.
VADER,We'll have to destroy them ship to ship.  Get the crews to their fighters.
HAN,Luke!  Luke!  Luke!
HAN,"He's the brains, sweetheart."
VADER,"Good work, Commander. Leave us. Conduct your search and bring his companions to me."
LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go."
THREEPIO,"Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and we're done for."
VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.
THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording."
HAN,Now's our chance!  Go!
THREEPIO,"Rather touchy, aren't they?"
BEN,"Your insight serves you well. Bury your feelings deep down, Luke. They do you credit. But they could be made to serve the Emperor."
LUKE,"No, you don't. You've always been strong."
HAN,There aren't any bases around here.  Where did it come from?
HAN,"Nah, it's just a dead animal, Chewie."
HAN,Come on!
LUKE,"Get clear, Wedge."
HAN,I'm a nice man.
THREEPIO,Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!
HAN,It'll take a few moments to get the coordinates from the navi-computer.
LUKE,... Threepio!
LEIA,I happen to like nice men.
HAN,"Oh, great. Well, we can still outmaneuver them."
LANDO,Accelerate to attack speed! Draw their fire away from the cruisers.
LUKE,I'll meet you back at the fleet.
THREEPIO,"You see, Master Luke; they didn't believe me. Just..."
HAN,Get to the top!
LUKE,The same as always.
LANDO,I had no choice. They arrived right before you did. I'm sorry.
LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or..."
VADER,A tremor in the Force.  The last time I felt it was in the presence of my old master.
LUKE,What? She didn't come back?
LUKE,It'll be just like Beggar's Canyon back home.
HAN,Why do you take this apart now? I'm trying to get us  out of here and you pull both of these.
HAN,Let's get out of here. Ready for light-speed? One...two...three!
LUKE,"If you're saying coming here was a bad idea, I'm beginning to  agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy."
LUKE,"Artoo, see what you can do with it.  Hang on back there."
THREEPIO,Wake up!  Wake up!
THREEPIO,Because he's holding a thermal detonator.
THREEPIO,"Hello, I think... I could be mistaken. They're using a very primitive dialect.  But I do believe they think I am some sort of god."
THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier."
LEIA,What happened?
VADER,"Don't fail me again, Admiral."
THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
THREEPIO,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place."
HAN,Bring them on!  I prefer a straight fight to all this sneaking around.
LUKE,"Hey, whoa, just where do you think you're going?"
THREEPIO,"Don't worry, Master Luke.  We know what to do."
HAN,"Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission."
LEIA,I know. Somehow...I've always known.
BEN,"Yes, indeed.  If it's a fast ship."
HAN,Transmission commencing.
LUKE,You told me Vader betrayed and murdered my father.
VADER,"Yes, my Master."
THREEPIO,"They're madmen!  They're heading for the prison level.  If you hurry, you might catch them."
HAN,Princess?  What's going on?
LUKE,No! No! No!
YODA,"Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone."
YODA,Mmm. Friends you have there.
HAN,Nice!  Come on!
LUKE,"It sure is leaving in a big hurry.  If they identify us, we're in big trouble."
LEIA,What is it?
THREEPIO,"This can't be! Artoo, you're playing the wrong message."
HAN,"Yeah, me too."
THREEPIO,Hmm.  I wish I had your confidence.
HAN,Shut him up or shut him down!  Check the  deflector shield!
VADER,Stay in attack formation!
HAN,Am I? Then why are you following me? Afraid I was going to leave  without giving you a goodbye kiss?
THREEPIO,Oh! Nice to see a familiar face.
YODA,"And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!"
HAN,Punch it!
LUKE,No!
LUKE,"I know, I know! All the scopes are dead. I can't  see a thing! Just hang on, I'm going to start the landing cycle..."
THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen. 
THREEPIO,"I am See-Threepio, human-cy..."
VADER,I find your lack of faith disturbing.
LUKE,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message."
LUKE,There's two more wrecked speeders back there. And I found this.
LANDO,I'm just trying to help...
HAN,Thank you.
LUKE,"Chewie, give 'em your crossbow."
VADER,They have just made the jump into hyperspace.
HAN,It might.
HAN,"Lando, grab it!"
THREEPIO,Don't try to blame me. I didn't ask you to turn on the  thermal heater. I merely commented that it was freezing in the princess's chamber. But it's supposed to be freezing. How are we going to dry out all her clothes? I really don't know.
HAN,Over my dead body.
LANDO,I promised to return his ship without a scratch...I sure hope that old pirate forgives me.
LEIA,He certainly has courage.
LUKE,A certain point of view!
LEIA,"I don't know where you get you delusions, laser brain."
THREEPIO,"Hang on tight, Artoo, you've got to come back."
LUKE,What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you. 
THREEPIO,"Excuse me, ma'am, but where are we going?"
THREEPIO,"You must repair him!  Sir, if any of my circuits or gears will help, I'll gladly donate them."
LUKE,"Vader is here...now, on this moon."
LUKE,"I can't do it, Ben."
YODA,No. There is another.
VADER,"...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations."
HAN,"Here we go, Chewie. Stand by. Detach!"
YODA,Strong is Vader. Mind what you have learned. Save you it can.
HAN,Thank you.
LUKE,Are you kidding?  At the rate they're gaining...
HAN,"Somehow, I got the feeling that didn't help us very much."
YODA,So certain are you. Always with you it cannot be done. Hear you  nothing that I say?
BEN,"When your father left, he didn't know your mother was pregnant. Your mother and I knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible.  So I took you to live with my brother Owen on Tatooine... and your mother took Leia to live as the daughter of Senator Organa, on Alderaan."
VADER,I have felt it.
HAN,Alluvial dampers...! Well that's not it.
VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base."
LANDO,"Now...come on, Han, old buddy. Don't let me down."
HAN,What's going on...buddy?
THREEPIO,"Oh. Well, Princess Leia is wondering about Master Luke. He  hasn't come back yet. She doesn't know where he is."
VADER,"It is too late for me, son. The Emperor will show you the true nature of the Force. He is your master now."
HAN,"Back door, huh? Good idea."
BEN,Leave that to me!
HAN,Good luck.
HAN,"Hey, I don't get it."
HAN,Shuttle Tydirium requesting deactivation of the deflector shield.
LANDO,Vader's giving him to the bounty hunter.
BEN,It'd be as well to let it go.  It's too far out of range.
LUKE,Just tell them.
HAN,"That bad, huh? Where's Leia?"
THREEPIO,"Thank goodness, they haven't found them!  Where could they be?"
VADER,That name no longer has any meaning for me.
HAN,"Maybe you'd like it back in your cell, Your Highness."
LUKE,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi."
LEIA,"My...! Why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder!"
LUKE,Artoo?
LUKE,I'm endangering the mission. I shouldn't have come.
LEIA,"Governor Tarkin, I should have expected to find you holding Vader's leash.  I recognized your foul stench when I was brought on board."
LEIA,Would you please stop calling me that?
LUKE,No... of course not.
LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.
THREEPIO,Do you think they'll melt us down?
HAN,We're caught in a tractor beam!  It's pulling us in!
HAN,"I'm trying not to, kid!"
HAN,It'll work. It'll work.
BEN,"And did you help them? It was they who had to save you. You achieved little by rushing back prematurely, I fear."
THREEPIO,"Oh. Well, yes."
LUKE,"Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead."
THREEPIO,I knew all along it had to be a mistake.
BEN,Partially. But it also obeys your commands.
BEN,"Be patient, Luke.  Stay and watch over the droids."
HAN,"I'm not really interested in your opinion, Threepio."
LUKE,"No, Artoo, you stay put. I'll have a look around."
THREEPIO,"Artoo expresses his relief, also."
BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. "
THREEPIO,But...but...but...where are you going? Uh...come back!!
BEN,"But you cannot control it. This is a dangerous time for you, when  you will be tempted by the dark side of the Force."
LEIA,That's all any of us can see.
LUKE,Look!
HAN,Chewie and I will take care of this. You stay here.
HAN,Hey... it's me.
LUKE,I can't believe he's gone.
LEIA,Yes. You're a great help to us. You're a natural leader...
THREEPIO,"But, sir!"
BEN,No.  It's a short range fighter.
THREEPIO,We're doomed!
VADER,What of the reports of the Rebel fleet massing near Sullust?
LUKE,I saw...I saw a city in the clouds.
LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!
LUKE,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before."
HAN,There isn't enough life on this ice cube to fill a  space cruiser. The sensors are placed. I'm going back.
LUKE,I have a promise I have to keep first... to an old friend.
HAN,"Hokey religions and ancient weapons are no match for a good blaster at your side, kid."
HAN,Come on.
HAN,Come on! Come on! Switch over. Let's hope we don't have a  burnout.
LUKE,I wish I was going...  Are you going to be around long? 
BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force."
BEN,You don't know that.
HAN,"Hi, kid.  There's got to be a reason for it. Check it  at the other end. Wait a second.  You all right?"
LEIA,No light-speed?
THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master."
THREEPIO,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt..."
BEN,"Luke, don't give in to hate -- that leads to the dark side."
HAN,"Look, going good against remotes is one thing.  Going good against the living?  That's something else."
THREEPIO,"Oh, my.  I'd forgotten how much I hate space travel."
HAN,Get in there you big furry oaf!  I don't care what you smell!  Get in there and don't worry about it.
LUKE,"Where could he be?  Threepio!  Threepio, will you come in?"
LUKE,"Well, I didn't..."
LUKE,Do you understand anything they're saying?
LUKE,Like we're being watched!
BEN,You will go to the Dagobah system.
VADER,The Empire will compensate you if he dies. Put him in!
LEIA,I wonder who they found to pull that off.
HAN,"All right, hang on."
LUKE,Then I guess I won't see you.
LEIA,"Han, we need you!"
LEIA,"Hey, are you awake?"
LUKE,I'm ready for anything.
THREEPIO,How rude!
HAN,I'm not going to argue with that.
HAN,Then we'll do it real quiet-like.
BEN,I don't think you boys can help.  I must go alone.
BEN,That's no moon!  It's a space station.
LUKE,"Oh, I think I just blasted it."
VADER,I'm on the leader.
HAN,"Well, of course I'll have to replace it."
THREEPIO,Noisy brute. Why don't we just go into light-speed?
LUKE,This is Red Five!  I'm going in!
VADER,The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system.
LUKE,"I'm hit, but not bad."
LUKE,"Echo Three to Echo Seven. Han, old buddy, do you  read me?"
HAN,"I'm okay, pal."
LUKE,It looks like we don't have much of a choice but I'll remind him.
THREEPIO,"Well, it's Princess Leia, sir. She's been trying to get you  on the communicator."
LUKE,But they're going to kill her!
HAN,Doesn't sound so bad.
LUKE,What happened?
HAN,"Come on, buddy, we're not out of this yet!"
HAN,Ah! Chew--Chewie!
HAN,Not bad for a little furball. There's only one left. You stay here. We'll take care of this.
LEIA,I'm here.
LUKE,Then my father is truly dead.
THREEPIO,How typical.
BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.
LUKE,"Artoo... that, that stabilizer's broken loose again!  See if you can't lock it down!"
THREEPIO,What did he say?
VADER,We would be honored if you would join us.
LUKE,"Well, who... who has he found?"
THREEPIO,"Hello, sir."
VADER,"Son, come with me."
HAN,"Well, I wasn't gonna let you get all the credit and take all the reward."
BEN,"To be a Jedi, Luke, you must confront and then go beyond the dark side - the side your father couldn't get past. Impatience is the easiest door - for you, like your father. Only, your father was seduced by what he found on the other side of the door, and you have held firm. You're no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again!"
THREEPIO,"Sir, sir! I've isolated the reverse power flux coupling."
VADER,Her resistance to the mind probe is considerable.  It will be some time before we can extract any information from her.
LEIA,Star Destroyer.
LANDO,The security codes has been changed!
LUKE,No!  wait!
LUKE,"Hey... hey, open the pressure maintenance hatch on unit number... where are we?"
THREEPIO,Hurry!
HAN,Don't worry. I'll leave. First I'm going to get you to your ship.
HAN,There she is.
VADER,"Yes, my Master."
LUKE,"So... what do you think of her, Han?"
LUKE,"Rouge Two, are you all right?"
LUKE,What is it?
HAN,How are we doing?
LUKE,They were in pain.
LEIA,Do you think that after what you did to Han we're going to trust  you?
THREEPIO,"Oh! Sometimes I just don't understand human behavior. After  all, I'm only trying to do my job in the most..."
LEIA,I gotta get you out of here.
BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.
BEN,"Yes, I was once a Jedi Knight the same as your father."
LEIA,"We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope."
LUKE,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!"
VADER,Good. Monitor Skywalker and allow him to land.
THREEPIO,"Master Luke, sir, it's good to see you fully functional  again."
LEIA,A mining colony?
LUKE,Yes.
VADER,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule."
LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now."
THREEPIO,It's against my programming to impersonate a deity.
LUKE,Echo station Five-Seven. We're on our way.
VADER,I see you have constructed a new lightsaber.
YODA,"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will."
HAN,"Well, don't get all mushy on me. So long, Princess."
